Region,LGA,Quarter,Count,Median,Property Type,Number of Bedrooms
Barwon South West,Colac-Otway,1999Q2,6.0,68.0,Flat,1
Barwon South West,Colac-Otway,1999Q3,6.0,75.0,Flat,1
Barwon South West,Colac-Otway,1999Q4,7.0,80.0,Flat,1
Barwon South West,Colac-Otway,2000Q1,6.0,78.0,Flat,1
Barwon South West,Colac-Otway,2000Q2,11.0,75.0,Flat,1
Barwon South West,Colac-Otway,2000Q3,10.0,80.0,Flat,1
Barwon South West,Colac-Otway,2000Q4,6.0,83.0,Flat,1
Barwon South West,Colac-Otway,2001Q1,9.0,85.0,Flat,1
Barwon South West,Colac-Otway,2001Q2,6.0,88.0,Flat,1
Barwon South West,Colac-Otway,2001Q3,6.0,85.0,Flat,1
Barwon South West,Colac-Otway,2001Q4,6.0,95.0,Flat,1
Barwon South West,Colac-Otway,2002Q1,7.0,95.0,Flat,1
Barwon South West,Colac-Otway,2002Q3,7.0,95.0,Flat,1
Barwon South West,Colac-Otway,2002Q4,10.0,100.0,Flat,1
Barwon South West,Colac-Otway,2003Q1,6.0,115.0,Flat,1
Barwon South West,Colac-Otway,2003Q2,8.0,118.0,Flat,1
Barwon South West,Colac-Otway,2003Q3,12.0,105.0,Flat,1
Barwon South West,Colac-Otway,2003Q4,5.0,115.0,Flat,1
Barwon South West,Colac-Otway,2004Q1,7.0,110.0,Flat,1
Barwon South West,Colac-Otway,2004Q2,8.0,108.0,Flat,1
Barwon South West,Colac-Otway,2004Q3,11.0,110.0,Flat,1
Barwon South West,Colac-Otway,2004Q4,8.0,105.0,Flat,1
Barwon South West,Colac-Otway,2005Q1,11.0,115.0,Flat,1
Barwon South West,Colac-Otway,2005Q2,8.0,115.0,Flat,1
Barwon South West,Colac-Otway,2005Q3,13.0,115.0,Flat,1
Barwon South West,Colac-Otway,2005Q4,9.0,125.0,Flat,1
Barwon South West,Colac-Otway,2006Q1,9.0,115.0,Flat,1
Barwon South West,Colac-Otway,2006Q2,10.0,130.0,Flat,1
Barwon South West,Colac-Otway,2006Q3,10.0,130.0,Flat,1
Barwon South West,Colac-Otway,2007Q1,8.0,133.0,Flat,1
Barwon South West,Colac-Otway,2007Q2,10.0,138.0,Flat,1
Barwon South West,Colac-Otway,2007Q3,7.0,135.0,Flat,1
Barwon South West,Colac-Otway,2007Q4,9.0,140.0,Flat,1
Barwon South West,Colac-Otway,2008Q1,7.0,145.0,Flat,1
Barwon South West,Colac-Otway,2008Q2,7.0,145.0,Flat,1
Barwon South West,Colac-Otway,2008Q3,10.0,148.0,Flat,1
Barwon South West,Colac-Otway,2008Q4,5.0,150.0,Flat,1
Barwon South West,Colac-Otway,2009Q1,12.0,130.0,Flat,1
Barwon South West,Colac-Otway,2009Q2,12.0,150.0,Flat,1
Barwon South West,Colac-Otway,2009Q3,5.0,150.0,Flat,1
Barwon South West,Colac-Otway,2009Q4,6.0,165.0,Flat,1
